Stream Count,Packet Size (bytes),Total Throughput (Mbps),Messages/sec,Duration (s),Total Messages,Total Bytes,Min Stream Throughput,Max Stream Throughput,Mean Stream Throughput,Throughput Std Dev
1,1024,41.89241443771864,5164.2522728943095,5.034610748291016,26000,26364000,,,,
1,4096,105.75544588246167,3235.2987604766786,5.200447082519531,16825,68746950,,,,
1,16384,336.80445301776683,2571.1833777464794,5.056037664413452,13000,212862000,,,,
1,65527,94.34328798598254,179.99772575435105,5.988964557647705,1078,70627326,,,,
3,1024,88.85599503628183,10953.64830328918,5.20831036567688,57050,57848700,29.592706497622338,29.67058204103714,29.618665012093942,0.0367108832247958
3,4096,190.79148708052284,5836.74397578692,5.156984806060791,30100,122988600,63.385876106485995,63.70280548701843,63.59716236017429,0.14940194275449142
3,16384,529.3830821840728,4041.3390297428305,5.208669662475586,21050,344672700,176.04188006121186,177.2993220616491,176.46102739469094,0.592763843638632
3,65527,1163.8618896626458,2220.534154613775,5.217213153839111,11585,759014445,386.7818968667403,390.2980959291652,387.9539632208819,1.6575521340282862
5,1024,143.51328134928838,17691.47945627322,5.092847108840942,90100,91361400,28.670799825607,28.750440936233687,28.70265626985767,0.0390160167167869
5,4096,366.8408589824003,11222.493238570738,5.0122551918029785,56250,229837500,73.36817179648006,73.36817179648006,73.36817179648006,0.0
5,16384,902.5481992738496,6890.101680055649,5.022277116775513,34604,566605896,179.96713024475673,181.2712398842115,180.50963985476992,0.6230096325331402
5,65527,1059.9931657948032,2022.3628329189432,5.097008228302002,10308,675349236,210.8057809351326,215.94738534818458,211.99863315896064,1.9839931807164193
10,1024,116.6365229835367,14378.269598562216,5.111880779266357,73500,74529000,11.584307724895481,11.742996871811858,11.66365229835367,0.07934457345818835
10,4096,347.80517861878496,10640.1486361596,5.160548210144043,54909,224358174,32.93789595180539,37.37184348377919,34.780517861878494,1.5820988279616697
10,16384,548.8092176251569,4189.639196478845,5.297114849090576,22193,363388182,51.93076001499704,62.712574951444054,54.88092176251568,3.3271224451082584
10,65527,571.904723219528,1091.1380313878994,6.96245551109314,7597,497732649,52.69623617923781,60.22426991912893,57.190472321952804,3.6701075394629834
25,1024,333.86645522302535,41157.107399288136,5.101378917694092,209958,212897412,13.198313845393413,13.449558855944275,13.354658208921014,0.03666815381654418
25,4096,475.1620690820695,14536.284541179315,5.454763889312744,79292,323987112,17.378424057130623,20.58444366767024,19.00648276328278,1.2857545169083078
25,16384,707.2962779935951,5399.537971735642,6.294612646102905,33988,556519512,24.972211768633464,36.70915129989119,28.2918511197438,3.886784442645899
25,65527,144.81470766380409,276.2922364878659,20.97416877746582,5795,379671015,2.498959580048388,52.778026330621955,5.7925883065521635,10.828256863321247
